"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Age Groups"	"Age Groups Code"	Count
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"White"	"2106-3"	"70-74 years"	"70-74"	249
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"White"	"2106-3"	"75-79 years"	"75-79"	243
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"White"	"2106-3"	"80-84 years"	"80-84"	192
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"White"	"2106-3"	"85+ years"	"85+"	122
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	19
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	30
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	66
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	70
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	79
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	70
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	54
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	57
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	56
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	44
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	29
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"Black or African American"	"2054-5"	"85+ years"	"85+"	38
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"White"	"2106-3"	"30-34 years"	"30-34"	39
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"White"	"2106-3"	"35-39 years"	"35-39"	65
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"White"	"2106-3"	"40-44 years"	"40-44"	127
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"White"	"2106-3"	"45-49 years"	"45-49"	217
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"White"	"2106-3"	"50-54 years"	"50-54"	273
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"White"	"2106-3"	"55-59 years"	"55-59"	293
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"White"	"2106-3"	"60-64 years "	"60-64"	272
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"White"	"2106-3"	"65-69 years"	"65-69"	327
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"White"	"2106-3"	"70-74 years"	"70-74"	275
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"White"	"2106-3"	"75-79 years"	"75-79"	271
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"White"	"2106-3"	"80-84 years"	"80-84"	186
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2001"	"2001"	"White"	"2106-3"	"85+ years"	"85+"	109
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	41
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	58
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	79
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	83
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	71
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	62
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	44
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	49
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	36
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	36
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"Black or African American"	"2054-5"	"85+ years"	"85+"	28
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"White"	"2106-3"	"30-34 years"	"30-34"	29
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"White"	"2106-3"	"35-39 years"	"35-39"	65
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"White"	"2106-3"	"40-44 years"	"40-44"	145
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"White"	"2106-3"	"45-49 years"	"45-49"	222
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"White"	"2106-3"	"50-54 years"	"50-54"	251
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"White"	"2106-3"	"55-59 years"	"55-59"	288
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"White"	"2106-3"	"60-64 years "	"60-64"	337
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"White"	"2106-3"	"65-69 years"	"65-69"	290
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"White"	"2106-3"	"70-74 years"	"70-74"	276
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"White"	"2106-3"	"75-79 years"	"75-79"	245
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"White"	"2106-3"	"80-84 years"	"80-84"	168
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2002"	"2002"	"White"	"2106-3"	"85+ years"	"85+"	101
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	16
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	42
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	69
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	96
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	86
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	73
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	64
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	55
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	54
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	33
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	28
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"Black or African American"	"2054-5"	"85+ years"	"85+"	18
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"White"	"2106-3"	"30-34 years"	"30-34"	29
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"White"	"2106-3"	"35-39 years"	"35-39"	66
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"White"	"2106-3"	"40-44 years"	"40-44"	116
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"White"	"2106-3"	"45-49 years"	"45-49"	213
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"White"	"2106-3"	"50-54 years"	"50-54"	243
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"White"	"2106-3"	"55-59 years"	"55-59"	272
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"White"	"2106-3"	"60-64 years "	"60-64"	286
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"White"	"2106-3"	"65-69 years"	"65-69"	271
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"White"	"2106-3"	"70-74 years"	"70-74"	227
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"White"	"2106-3"	"75-79 years"	"75-79"	209
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"White"	"2106-3"	"80-84 years"	"80-84"	165
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2003"	"2003"	"White"	"2106-3"	"85+ years"	"85+"	112
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	19
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	40
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	67
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	81
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	90
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	78
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	58
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	47
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	40
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	39
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	29
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"Black or African American"	"2054-5"	"85+ years"	"85+"	34
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"White"	"2106-3"	"30-34 years"	"30-34"	28
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"White"	"2106-3"	"35-39 years"	"35-39"	59
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"White"	"2106-3"	"40-44 years"	"40-44"	140
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"White"	"2106-3"	"45-49 years"	"45-49"	221
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"White"	"2106-3"	"50-54 years"	"50-54"	225
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"White"	"2106-3"	"55-59 years"	"55-59"	321
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"White"	"2106-3"	"60-64 years "	"60-64"	276
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"White"	"2106-3"	"65-69 years"	"65-69"	275
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"White"	"2106-3"	"70-74 years"	"70-74"	240
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"White"	"2106-3"	"75-79 years"	"75-79"	215
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"White"	"2106-3"	"80-84 years"	"80-84"	144
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2004"	"2004"	"White"	"2106-3"	"85+ years"	"85+"	127
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2000"	"2000"	"White"	"2106-3"	"40-44 years"	"40-44"	27
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2000"	"2000"	"White"	"2106-3"	"45-49 years"	"45-49"	40
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2000"	"2000"	"White"	"2106-3"	"50-54 years"	"50-54"	40
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2000"	"2000"	"White"	"2106-3"	"55-59 years"	"55-59"	38
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2000"	"2000"	"White"	"2106-3"	"60-64 years "	"60-64"	35
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2000"	"2000"	"White"	"2106-3"	"65-69 years"	"65-69"	31
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2000"	"2000"	"White"	"2106-3"	"70-74 years"	"70-74"	18
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2000"	"2000"	"White"	"2106-3"	"75-79 years"	"75-79"	24
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2001"	"2001"	"White"	"2106-3"	"40-44 years"	"40-44"	19
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2001"	"2001"	"White"	"2106-3"	"45-49 years"	"45-49"	41
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2001"	"2001"	"White"	"2106-3"	"50-54 years"	"50-54"	47
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2001"	"2001"	"White"	"2106-3"	"55-59 years"	"55-59"	39
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2001"	"2001"	"White"	"2106-3"	"60-64 years "	"60-64"	24
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2001"	"2001"	"White"	"2106-3"	"65-69 years"	"65-69"	21
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2001"	"2001"	"White"	"2106-3"	"70-74 years"	"70-74"	22
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2002"	"2002"	"White"	"2106-3"	"45-49 years"	"45-49"	33
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2002"	"2002"	"White"	"2106-3"	"50-54 years"	"50-54"	40
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2002"	"2002"	"White"	"2106-3"	"55-59 years"	"55-59"	40
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2002"	"2002"	"White"	"2106-3"	"60-64 years "	"60-64"	43
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2002"	"2002"	"White"	"2106-3"	"65-69 years"	"65-69"	20
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2003"	"2003"	"White"	"2106-3"	"40-44 years"	"40-44"	19
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2003"	"2003"	"White"	"2106-3"	"45-49 years"	"45-49"	43
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2003"	"2003"	"White"	"2106-3"	"50-54 years"	"50-54"	46
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2003"	"2003"	"White"	"2106-3"	"55-59 years"	"55-59"	42
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2003"	"2003"	"White"	"2106-3"	"60-64 years "	"60-64"	40
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2003"	"2003"	"White"	"2106-3"	"65-69 years"	"65-69"	18
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2003"	"2003"	"White"	"2106-3"	"75-79 years"	"75-79"	21
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2004"	"2004"	"White"	"2106-3"	"40-44 years"	"40-44"	20
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2004"	"2004"	"White"	"2106-3"	"45-49 years"	"45-49"	36
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2004"	"2004"	"White"	"2106-3"	"50-54 years"	"50-54"	45
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2004"	"2004"	"White"	"2106-3"	"55-59 years"	"55-59"	41
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2004"	"2004"	"White"	"2106-3"	"60-64 years "	"60-64"	29
	"Female Breast"	"26000-Female"	"Alaska"	"02"	"2004"	"2004"	"White"	"2106-3"	"65-69 years"	"65-69"	30
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2000"	"2000"	"White"	"2106-3"	"30-34 years"	"30-34"	49
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2000"	"2000"	"White"	"2106-3"	"35-39 years"	"35-39"	105
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2000"	"2000"	"White"	"2106-3"	"40-44 years"	"40-44"	198
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2000"	"2000"	"White"	"2106-3"	"45-49 years"	"45-49"	278
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2000"	"2000"	"White"	"2106-3"	"50-54 years"	"50-54"	334
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2000"	"2000"	"White"	"2106-3"	"55-59 years"	"55-59"	369
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2000"	"2000"	"White"	"2106-3"	"60-64 years "	"60-64"	316
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2000"	"2000"	"White"	"2106-3"	"65-69 years"	"65-69"	383
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2000"	"2000"	"White"	"2106-3"	"70-74 years"	"70-74"	421
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2000"	"2000"	"White"	"2106-3"	"75-79 years"	"75-79"	367
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2000"	"2000"	"White"	"2106-3"	"80-84 years"	"80-84"	217
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2000"	"2000"	"White"	"2106-3"	"85+ years"	"85+"	190
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2001"	"2001"	"White"	"2106-3"	"25-29 years"	"25-29"	16
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2001"	"2001"	"White"	"2106-3"	"30-34 years"	"30-34"	36
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2001"	"2001"	"White"	"2106-3"	"35-39 years"	"35-39"	100
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2001"	"2001"	"White"	"2106-3"	"40-44 years"	"40-44"	211
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2001"	"2001"	"White"	"2106-3"	"45-49 years"	"45-49"	256
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2001"	"2001"	"White"	"2106-3"	"50-54 years"	"50-54"	356
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2001"	"2001"	"White"	"2106-3"	"55-59 years"	"55-59"	397
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2001"	"2001"	"White"	"2106-3"	"60-64 years "	"60-64"	346
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2001"	"2001"	"White"	"2106-3"	"65-69 years"	"65-69"	422
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2001"	"2001"	"White"	"2106-3"	"70-74 years"	"70-74"	425
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2001"	"2001"	"White"	"2106-3"	"75-79 years"	"75-79"	369
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2001"	"2001"	"White"	"2106-3"	"80-84 years"	"80-84"	225
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2001"	"2001"	"White"	"2106-3"	"85+ years"	"85+"	161
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2002"	"2002"	"White"	"2106-3"	"30-34 years"	"30-34"	27
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2002"	"2002"	"White"	"2106-3"	"35-39 years"	"35-39"	91
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2002"	"2002"	"White"	"2106-3"	"40-44 years"	"40-44"	177
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2002"	"2002"	"White"	"2106-3"	"45-49 years"	"45-49"	265
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2002"	"2002"	"White"	"2106-3"	"50-54 years"	"50-54"	346
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2002"	"2002"	"White"	"2106-3"	"55-59 years"	"55-59"	414
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2002"	"2002"	"White"	"2106-3"	"60-64 years "	"60-64"	411
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2002"	"2002"	"White"	"2106-3"	"65-69 years"	"65-69"	417
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2002"	"2002"	"White"	"2106-3"	"70-74 years"	"70-74"	381
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2002"	"2002"	"White"	"2106-3"	"75-79 years"	"75-79"	391
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2002"	"2002"	"White"	"2106-3"	"80-84 years"	"80-84"	248
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2002"	"2002"	"White"	"2106-3"	"85+ years"	"85+"	156
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2003"	"2003"	"White"	"2106-3"	"30-34 years"	"30-34"	39
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2003"	"2003"	"White"	"2106-3"	"35-39 years"	"35-39"	90
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2003"	"2003"	"White"	"2106-3"	"40-44 years"	"40-44"	190
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2003"	"2003"	"White"	"2106-3"	"45-49 years"	"45-49"	267
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2003"	"2003"	"White"	"2106-3"	"50-54 years"	"50-54"	321
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2003"	"2003"	"White"	"2106-3"	"55-59 years"	"55-59"	345
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2003"	"2003"	"White"	"2106-3"	"60-64 years "	"60-64"	385
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2003"	"2003"	"White"	"2106-3"	"65-69 years"	"65-69"	375
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2003"	"2003"	"White"	"2106-3"	"70-74 years"	"70-74"	373
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2003"	"2003"	"White"	"2106-3"	"75-79 years"	"75-79"	336
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2003"	"2003"	"White"	"2106-3"	"80-84 years"	"80-84"	243
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2003"	"2003"	"White"	"2106-3"	"85+ years"	"85+"	142
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2004"	"2004"	"White"	"2106-3"	"30-34 years"	"30-34"	40
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2004"	"2004"	"White"	"2106-3"	"35-39 years"	"35-39"	93
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2004"	"2004"	"White"	"2106-3"	"40-44 years"	"40-44"	178
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2004"	"2004"	"White"	"2106-3"	"45-49 years"	"45-49"	309
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2004"	"2004"	"White"	"2106-3"	"50-54 years"	"50-54"	360
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2004"	"2004"	"White"	"2106-3"	"55-59 years"	"55-59"	389
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2004"	"2004"	"White"	"2106-3"	"60-64 years "	"60-64"	397
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2004"	"2004"	"White"	"2106-3"	"65-69 years"	"65-69"	365
	"Female Breast"	"26000-Female"	"Arizona"	"04"	"2004"	"2004"	"White"	"2106-3"	"70-74 years"	"70-74"	372
